,Unnamed: 0,index,Career_Level,Company,Description,Summary,Job_Type,Qualification,JobTitle,Years_Experience,Industry,Location,Salary,Posted_On,Benefits_Dental_Insurance,Benefits_Five-day_work_week,Benefits_Free_shuttle_bus,Benefits_Life_insurance,Benefits_Medical_insurance,Benefits_Overtime_pay,Benefits_Performance_bonus,Benefits_Transportation_allowance,Benefits_Travel_allowance,Benefits_Double_pay,Benefits_Education_allowance,Benefits_Work_from_home,Jobsdb_Indeed,Python,SQL,Machine Learning,Spark,Java,Data Mining,Hadoop,Tableau,Hive,SAS,Big Data,GCP,AI,R,AWS,Azure
0,0,0,Senior,Neo Derm (HK) Ltd,"About us:
Neo Derm has been continuously undergoing to the digital transformation and developing its own platform - Gratus to interact with potential customer directly. As an innovative pioneer in the industry riding the waves of Big Data and AI, Neo Derm proactively
 shapes new economy business models and marketing strategies, step up efforts in developing comprehensive systems and applications to explore numerous opportunities for exponential business growth. In response to the rapid expansion of our business, our IT
 department, the strategic technology enabler with more than 70 staff & we never stop seeking high-caliber talents to join our big family.

Responsibilities:
AI Driven Platform Development

Work with business stakeholders to help them understand algorithm requirements and deliver high-quality solutions to them
Take ownership of assigned projects in the end-to-end campaign management process including customer targeting / retargeting and campaign response
 analysis Proactively make strategic recommendations to improve conversion, sales performance and customer experience.
Deploy analytics capabilities ranging from organization BI to advanced models to improve ongoing insight generation process and the application
 of such in business relevant way Commercialization of insights from data scientists under a customer-centric context and turn into business strategy
Ability to successfully convey all valuable insights with business action recommendations to senior management through effective presentation 

 Machine Learning Algorithm Building

Lead data scientist team to develop different data science initiatives including predictive models and statistically rigorous advanced model scripts
 to support AI / machine learning / deep learning related initiatives Lead the design, development and implementation of customer analytic strategy via data mining, modeling, customer segmentation (clustering) and
 forecasting Perform advanced analysis using statistical techniques & algorithms to build effective targeting, segmentation and identification of opportunities
 around various marketing program optimization including but not limited to cross-sell, up-sell and customer retention
Perform the big data analytics processes on massive data sets from different data sources: explanatory and targeted data analyses, generate and
 test working hypotheses, analyze historical data and identify features & trends

 Requirements:

Bachelor’s degree or above in Mathematics, Data Science, Statistics, Computer Science or related disciplines 
5+ years of relevant working experience in data analytics field as statistician / analyst / data scientist
Solid Experience in defining and delivering customer segmentation and behavioral models, delivering customer targeting / re-targeting plan and
 developing recommendation engine Solid working experience in supervised learning, unsupervised learning & reinforcement learning
Previous exposure to / knowledge of retail industry will be an asset
Strong leadership and managerial skill when working with senior management team
A result-oriented person with a passion for excellence, high level of initiative and strong sense of responsibility
Proactive and with a can-do attitude
Good command of English, Cantonese & Mandarin
","Develop different data science initiatives ,Machine Learning Algorithm Building,Strong leadership and managerial skill ","Full Time, Permanent",Degree,Data Analyst,5.0,Health & Beauty Care,Tai Koo,Salary Provided,2020-09-11,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Jobsdb,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,Middle,EY,"FSO Assurance Senior – iData analytics and enablement (HON002VH)
Assurance Business Service specialise in delivering high quality and efficient audit and advisory services to a portfolio of clients, understanding
 the enterprise-wide view of business risk and how this risk can be effectively managed. We use state-of-the-art diagnostic tools to evaluate business processes and controls, and advanced technology in knowledge sharing.
We currently are seeking qualified candidates for an excellent career and leadership opportunity in our Assurance Financial Service Organization
 (FSO) group. Our talented and dedicated FSO professionals deliver audit solutions to many types of entities including funds, banks and insurance companies. 
 
The opportunity
EY are looking for a talented and experienced analyst to assist the Assurance business in a dynamic client facing data analytics team.
The role of Senior – idata analytic and enablement, based in Hong Kong, will be responsible for designing and delivering a range of data analytics
 with direct exposure to internal and external clients alike; promoting, demonstrating and delivering the benefits from the use of data analysis in an audit context. 
Responsibilities:
Your key responsibilities

Transform a variety of client financial data for use in our state of the art audit tools dedicated for audit data analytics in consultation with the audit teams
Identify, investigate, recommend and implement solutions for audit data issues
Provide business insights through visualisation, trend and correlation analyses
Develop your data handling, analytical and client systems skills by way of working on a broad range of client systems and data issue scenarios
Coordinate and assist to deliver on a portfolio of data analytics engagements
Work on audit innovation projects and use programming tools/ robotics software to automate manual audit tasks for efficiency and cost savings
Potentially liaise with in-country talent hub to efficiently deliver standard and high quality data analysis

Requirements:
To qualify for the role you must have

University degree or above majoring in information systems, computer science, engineering, statistics, accounting, and/or business administration; Professional qualifications: CPA, CIA,
 CISA (preferable, but not a must) Advanced knowledge of MS Excel and all MS Office Suite products, including Excel Macros and VBA programming is required
Experience with MS SQL Server/SQL Server Integration Services is a plus
Experience with Visualization and Dashboard building software is a plus.
Experience with AI/RPA/Automation software is a plus.
Experience with Python/ R or other programming languages is a plus.
Basic understanding of accounting/ auditing concepts with some working experience in financial audit/ IT audit is a plus
Ability to form productive working relationships with internal clients

What working at EY offers

Support, coaching and feedback from some of the most engaging colleagues around
Opportunities to develop new skills and progress your career
The freedom and flexibility to handle your role in a way that’s right for yo

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world.
Apply now.","University degree or above,Knowledge of MS Excel and MS Office Suite products,Deliver a portfolio of data analytics engagements","Full Time, Permanent",Degree,Data Analyst,3.0,Accounting / Audit / Tax Services,Quarry Bay,Salary Negotiable,2020-09-11,No,No,No,Yes,No,No,No,No,No,No,No,No,Jobsdb,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,2,3,Senior,ConnectedGroup Ltd,"Our client is a leading F&B label. They are now looking for a data analytics manager to support CRM analysis on data acquiring and consolidation from the different core and peripheral systems.Job Duties:Collaborate with B2C business lines to build customer life-cycle programs, focusing on engagement, traffic generation and nurturing initiativeRe-engages existing customers through promotion of new product features and gain customer referralsIntegrates customer analytics with demand generation strategies to improve customer acqusitionPersonalizes communication to the consumer using established content management software toolsCompiles reports on key performance indicators (e.g., Return on Investment, RFM, Return on Customer, etc)\Creates actionable tests to be used in the evaluation of the organizations database and customer relationship engagement strategy.Explains the components of a dashboard and their importance in guiding future eCommerce initiatives.Applies best practices for marketing and sales automation for use of emails, SMS, App Push and Web Push, landing pages, and content delivery across demand generation effort.Identifies high impact opportunities in driving salesRequirement:Degree holder with minimum 8 years of working experienceProven experience in CRM and online data analysisSensitive to consumer market trend with the ability to identify opportunities and implement changeSuperb Excel Skills is a MUST Fluent English & Chinese is a MUST ","build customer life-cycle programs,traffic generation,integrates customer analytics","Full Time, Permanent",Degree,Data Analyst,8.0,Food and Beverage,,Salary Provided,2020-09-11,No,No,No,No,No,No,No,No,No,No,No,No,Jobsdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,Middle,PCCW Media,"Key Responsibilities

Lead and set the roadmap of data-driven culture and fostering the use of data to monetize, explore business opportunities, make decisions and improve the user experience
Lead the centralized data management capability on data architecture, data collection, data transformation, data lake, data warehouse, data analytics, business intelligence and third party-data
 integration with governance, data security and data quality monitoring Conduct and perform the advanced data analytics to identify the insights into actionable items for all teams; improve the performance of the AI / ML; conduct to build effective predictive models
Transform the value of making use of data and analytics mindset and conduct the training to improve overall effectiveness and efficiency through data
Work closely with senior business stakeholders and conduct the presentation, communication with team members at any level of seniority
Manage the team resources and schedule to ensure the data platform is delivered with effectiveness, high quality, accurate, secure, on time, budget and cost control, as well as efficiently handle
 ad hoc analytics queries. 
Requirements:

6 years related experience in data analytics and business intelligence
Degree holder, preferably from statistics, computer science or related disciplines
Being visionary in improving the existing business as well as enabling new businesses
Able to communicate complex analyses effectively to varying internal and external, technical and non-technical stakeholders, of varying seniority
Experience in machine learning, deep learning and analytic techniques; capable to lead multiple data science work streams simultaneously in a fast-paced environment with multiple business stakeholders
Strong knowledge in SQL, Python/R; big data components such as Hive, Pig, Spark, Kafka, Presto, Python and MapReduce
Experience in cloud environments such as AWS (EC2, S3, Kinesis/Kafka, Lambda, Glue), Google Cloud or other Public cloud platform
Experience with PostgreSQL, Redshift / Redshift Spectrum, NoSQL and in-memory DB
Working experience in digital, e-commerce industry, mobile app and web environment is highly desirable
Excellent presentation and communication skills; strong analytical, problem-solving and interpersonal skills
Flexible and able to work in a dynamic environment and manage your own time and in a high paced work environment and tight timeline
Good command of both written and spoken English and Chines

We offer attractive and competitive salary and benefits, an exciting work environment and excellent career development opportunities. If
 you have the desire for an exciting and rewarding career, please send us your resume, stating your present and expected salary to Human Resources Department by post, fax or clicking ""Apply Now"":

Post:     6/F, Goldin Financial Global Centre, 17 Kai Cheung Road, Kowloon Bay 
Fax:     (852) 2827 8322  

For more information on other job opportunities of PCCW, please visit our website at <http://www.pccw.com/Careers/Job+Opportunities+&+Application/Current+Opportunities?language=en_US>
PCCW is an equal opportunity employer and welcomes applications from all qualified candidates. Information provided will be treated
 in strict confidence and will only be used for recruitment-related purposes. Personal data provided by job applicants will be used strictly in accordance with the employer’s privacy statement (www.pccw.com/privacy-statement/index.page),
 a copy of which will be provided immediately upon request.","Lead and set the roadmap of data-driven culture ,Lead the data architecture and data collection ,Experience in machine learning & deep learning ",Full Time,Degree,Data Analyst,6.0,Telecommunication,Kowloon Bay,,2020-09-11,No,No,No,No,No,No,No,No,No,No,No,No,Jobsdb,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0
4,4,5,Entry Level,Gold Profit Group Holdings Limited," 主要職責：

處理電腦數據輸入
日常文檔處理及更新
確保數據錄入準確及時

職位要求：

中六畢業
1年以上相關工作經驗
準時守紀，精准細心
電腦操作能力強，熟練運用WORD,EXCEL
數據輸入快速，中文輸入能力強
工作態度認真，高效
**24小時通宵輪班、輪休 (有夜班津貼）

 *不接受兼職
 *歡迎新來港人士及在港內地畢業生申請（必須持有香港工作簽證）
待遇及福利：

獎金
加班津貼
夜班津貼
醫療保險
生日津貼
教育津貼（公司支付在職期間部門指定職位進修課程、考取相關證書）
10-21 天年度休假
生育基金
節日福利

有興趣之求職者請將簡歷同現時薪金，期望薪金和可到職日期通過點擊“Apply
 Now”發送至Gold Profit HR Department, 合則約見。
** 應徵者所提供之資料只作為招聘之用**","數據輸入快速，中文輸入能力強, 工作態度認真,高效，電腦操作能力強, 熟練運用WORD，EXCEL,月薪可達14K+月度獎金；10~21天年假；銀行假",Full Time,School Certificate,Data Entry,1.0,Financial Services,Tsim Sha Tsui,Salary Negotiable,2020-09-11,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Jobsdb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,6,Middle,BDO Financial Services Limited,"Our client
is a multinational bank with an all-rounded financial operations at its prime within the APAC region.  They are looking for a young and energetic individual to support their Group Finance Project initiatives

 Responsibilities: 


Develop Dashboards to monitor operations performance
Consolidate a large amount of market data and apply analytical methods to generate business insights and improve operational
 efficiency Develop Qlik Sense solutions (or equivalent) as a BI tool to visualize and automate reporting
Facilitate and coordinate with different functional units to including front office, middle office and supporting
 departments to ensure the progress of the projects /initiatives Cultivate the mindset of internal customers on continuous improvement through various improvement initiatives
Keep abreast of the market, suggest and propose new improvement initiatives
Liaise with business users and IT on defining project initiatives, requirement documentation and analysis
Develop testing schedules and test plans for UAT with close monitoring on implementation progress
Document on workflow procedures for business users
Provide recommendations on operational process workflows reviews and solutions

 Requirements: 

Tertiary qualification or above preferred
At least 5 years’ experience in performing data analysis, dashboards development and project coordination
Experience in business transformation/ digital project is an advantage
Good Knowledge with project mechanics and process design techniques preferred
Well versed in digital business insight and 
Good business analysis, problem solving and facilitation skills
Able to manage personal workload with good communication skills
Good command of both written and spoken English, Cantonese & Mandarin
","Temp to Perm role,Banking Experience a Must,Visualization Tool ","Contract, Full Time, Permanent",Degree,Data Analyst,5.0,Banking,,Salary Negotiable,2020-09-11,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Jobsdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,7,Not Specified,Principal Trust Company (Asia) Limited,"Responsibilities:
Data/Analytics COE 

You will be working primarily within a scrum team, and partner with functional leads (e.g. Product Owners, Experience designers and Marketing team), to develop actionable insights and support analysis needs across the wider business, with a focus on Customers,
 Digital and Sales/Marketing. You will also enjoy a wide spread of multi-domain engagements with other functions to identify opportunities through analysis of complex data set, e.g. finance & sales metrics analysis/modelling such as AUM, cashflow, sales performance;
 AML/fraud detection; and operations. Retrieve and collect unstructured and structured data sources to build up the ‘customer 360 view’ (including 3rd party solutions/ platforms integrations) to perform data processing, cleansing and verification.
Utilises data visualisation to support the insight and analysis to wider non-technical audiences, while driving adoption of self-service BI through establishing and maintaining key data sets to empower operational and exploratory analysis.
Streamline and add efficiencies to the current reporting and insight practices.

Customer Analytics/Science 

Working closely with Customer practice and data scientist to design and build data models (both descriptive and predictive) throughout customers’ lifecycle (acquisitions, onboarding/activation, retention) to identify opportunities to deliver a differentiated
 customer experience and drive go-to-market/product development and innovations Some questions you will get to help answer:

How do we define ‘high value’ or ‘best customers via CLV model – for our business and individual customers? And what’s the economics?
How can we personalise our engagement strategy (in terms of channels, content, products) for our target customers?
What is the optimum selection and variety of funds/scheme/portfolio? What makes a goof intermediary/channel and how do we keep them selling our products?
How do we optimise our retention program/offer to keep our customers happy, stay with us, and even up/cross sell?
How do we optimise our marketing/advertising budget across channels to drive quality leads, conversion and long-term brand building activity?


Knowledge/practice building

Actively contribute to build out the data practice at Principal and support the wider business on data-driven decision making, grow analytics capabilities and sharing best practices

Requirements

Educational Qualification:

A degree in a technical field or 3-4 years of experience in an analytics role in digital, product or marketing

Job related experience required:

Good knowledge and exposure to applying machine learning (supervised and unsupervised) and statistical analysis (modelling and hypothesis testing) to address business problems
Data management – Excellent skills on SQL, with understanding of database structure, model design and segmentation techniques
Proficiency in Python or R and its application in data analysis Experience with data visualisation tools such as PowerBI,Tableau Experience with digital/marketing analytics methodologies/tools such as Google Analytics; Google Ads; experimentation/testing, competitive analysis, research etc
Excellent people skills — you’ll be meeting with stakeholders to translate business needs into technical requirements.

Competencies and Soft skills required and preferred:

Experience in Insurance, Pension or Wealth industry is an advantage Good exposure in digital space in financial industry – understands market, customer and business
Customer/user centred design thinking – obsessed about customer experience! Curious in nature, urge to innovate and make an impact, openness to change and appreciate ambiguity during transformation, and eagerness to learn
Team player and energizer. At the same time hands-on mentality and ready to ‘get his/her hands dirty’
Charismatic – excellent influencing, communication and mentoring skills ","Data Analyst, Data Scientist, Customer Analytics,Digital Transformation,Permanent role","Full Time, Permanent",Not Specified,Data Analyst,,Insurance / Pension Funding,Kwun Tong,,2020-09-11,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Jobsdb,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,7,8,Middle,IT Solutions Ltd.,"
We are searching for a high calibre Data Centre Associate / Specialist to work on management and supporting services for the
Data Centre Relocation Project.

Responsibilities:

Plan and implement the project for the relocation of existing data centre to a new data centre
Provide comments / advice on the matters related to data centre facilities / supporting systems in the new data centre
Support user acceptance of the data centre facilities /supporting systems
Design, prepare and conduct survey to service owners of IT systems and compile management reports
Prepare move-in plan for each IT system
Liaise with service owners to facilitate their IT systems move-in according to the project schedule

Requirements:

Degree or above in Computer Science or related disciplines
Solid experience
in data centre maintenance
Knowledge in Data Centre infrastructure & site preparation
Experience in Data Centre Relocation Project
Good people skills and communications skills
Ability to work under pressure

 Benefits:

Attractive remunerations will be offered to the successful candidates.
Excellent opportunity to further develop your Project Management professional skills on Data Centre Relocation Project in the Public Sector.
  
If you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:
jobs @itsolutions.com.hk

or
Please click the
Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.

Personal data collected will be used for recruitment purposes only.

IT Solutions Ltd.
Suite 2102
21/F Lucky Building
39 Wellington Street
Central, Hong Kong
(P.S. We do not process applications from overseas for this position)
","Data Centre Relocation Experience,Project Management,Salary up to $50K+","Contract, Full Time",Degree,Data Centre Related,,"Civil Services (Government, Armed Forces)",,Salary Provided,2020-09-10,No,Yes,No,No,No,No,No,No,No,No,No,No,Jobsdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,9,Middle,Acton Consulting Limited,"A leading MNC is looking for talent Engineers/ Operators  to join its IT operation team.
Responsibilities: 

Perform prompt remedy action, track and chase updates from various parties to ensure problems are solved under time constraints
Perform network monitoring, circuit / network / equipment testing to ensure smooth service to customers
Maintain, operate the facilities of data centre and perform daily maintenance activities
Supervise external facility contractors to carry out scheduled maintenance activities
Provide installation of facilities (i.e. power strips, equipment rack, rack shelving, cable patching etc.)

Requirements: 

Diploma or above in Telecom / Electronics / IT or related discipline
Working experience in telecom industry or IT daily operation
At least one year's experience in routers or Server or PC Support
Technical experience in monitoring and IT Routine tasks is a plus
Knowledge in Network / Data Center Operation will be an advantage BUT not essential
Aggressive, good attitude and reliable

Interested parties please send full resume in
MS WORD format stating current salary, expected salary and availability to us.
WebSite:
www.ActonCL.com
All information received will be kept in strict confidence and only for employment-related purposes.","Data Center Daily Routine task,Simple Knowledge in Router or Servers,Operator Data centre","Contract, Full Time, Permanent",Non-Degree Tertiary,Data Centre Related,1.0,Information Technology,,Salary Provided,2020-09-10,No,No,No,No,No,No,No,No,No,No,No,No,Jobsdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,10,Middle,Triangle Recruitment,"Our client is a well-known HRM solution provider with business across the globe. They are now looking for suitable candidates to join their team. 
Responsibilities

Analyze data from various internal and external sources to drive optimization and improvement of product development, marketing techniques and business strategies
Involve in designing and integration of the upcoming Data Analysis and Machine Learning module
Design and develop advanced algorithms and predictive models to achieve optimal data and insight generation
Work with stakeholders throughout the company to identify opportunities for leveraging company data to drive business solutions
Provide knowledge and insights in algorithm design, data modeling, machine learning and quantitative analysis for the development team as the domain expertise
Develop processes and tools to monitor and analyze model performance and data accuracy

Requirements

Degree or above in Data Science, Statistics, Mathematics, Computer Science or related
4+ years of experience in Machine Learning, Data Science projects full development cycle experience
Experience as an NLP Engineer or similar role
Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Knowledge of NLP techniques for text representation, semantic extraction techniques, data structures and modeling
Knowledge of text representation techniques (such as n-grams, bag of words, sentiment analysis etc), statistics and classification algorithms
Knowledge of Python, Java and/or R
Good communication skill in Chinese and English
Responsible and self-motivated
Candidates with less experience will also be considered

If this is a role for you, please apply now by sending your resume (in MS WORD format) with your expected salary to us via our company email : info @ trianglerecruit.com or
 click ""APPLY NOW""
**Due to the volume of applicants, only shortlisted candidates will be contacted.**
The information provided by applicants will be used for employment related purpose only. All applications will be treated in strict confidence and used exclusively for recruitment purposes.","Degree or above ,Machine Learning, Data Science ,Less experience will also be considered","Full Time, Permanent",Degree,Data Scientist,3.0,Information Technology,,Salary Negotiable,2020-09-10,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Jobsdb,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
